name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform,min_age
SpongeBob SquarePants: Revenge of the Flying Dutchman,Platform,2002,Other,1.19,71,7.7,Vicarious Visions,E,GBA,0
Pro Evolution Soccer 2008,Sports,2008,Konami Digital Entertainment,1.19,83,8.4,Konami,E,Wii,0
WWE SmackDown vs Raw 2008,Fighting,2007,Other,1.19,68,7.8,Yuke's,T,PSP,13
Just Dance 4,Misc,2012,Ubisoft,1.18,77,7.7,Ubisoft,E10+,X360,10
Tony Hawk's Pro Skater 2,Sports,2001,Activision,1.18,95,7.5,Vicarious Visions,E,GBA,0
Gun,Shooter,2005,Activision,1.17,77,8.7,Neversoft Entertainment,M,PS2,17
LEGO Indiana Jones: The Original Adventures,Action,2008,Other,1.17,76,7.6,Traveller's Tales,E10+,PSP,10
WWE '12,Fighting,2011,Other,1.17,72,6.9,Yuke's,T,PS3,13
WWE SmackDown vs. Raw 2010,Fighting,2009,Other,1.17,81,8.1,Yuke's,T,PS3,13
Medal of Honor: Rising Sun,Shooter,2003,Electronic Arts,1.17,65,5.8,EA,T,XB,13
Army of Two,Shooter,2008,Electronic Arts,1.17,74,7.3,EA,M,PS3,17
Spore,Strategy,2008,Electronic Arts,1.17,84,5.3,Maxis,E10+,PC,10
Mario vs. Donkey Kong,Puzzle,2004,Nintendo,1.17,81,8,Nintendo,E,GBA,0
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.16,76,7.3,Traveller's Tales,E10+,PS3,10
Mirror's Edge,Platform,2008,Electronic Arts,1.16,79,7.6,EA,T,X360,13
NASCAR Thunder 2002,Racing,2001,Electronic Arts,1.16,85,8.5,EA,E,PS2,0
Your Shape: Fitness Evolved 2012,Sports,2011,Ubisoft,1.16,77,7.6,Ubisoft,E,X360,0
FIFA 14,Sports,2013,Electronic Arts,1.16,88,5.8,EA,E,XOne,0
Gauntlet: Dark Legacy,Action,2001,Midway Games,1.15,73,8.3,Midway,T,PS2,13
Medal of Honor Heroes 2,Shooter,2007,Electronic Arts,1.15,69,7.3,EA,T,PSP,13
FIFA Soccer 10,Sports,2009,Electronic Arts,1.15,83,7.9,EA,E,PSP,0
Donkey Konga,Misc,2003,Nintendo,1.15,76,8.3,Namco,E,GC,0
WWE 2K15,Sports,2014,Take-Two Interactive,1.15,62,5.1,Yuke's,T,PS4,13
WWE 2K14,Sports,2013,Take-Two Interactive,1.14,74,7.5,Yuke's,T,PS3,13
The Lord of the Rings: The Return of the King,Action,2003,Electronic Arts,1.14,84,9.1,EA,T,XB,13
Mobile Suit Gundam: Federation vs. Zeon,Simulation,2001,Other,1.14,73,8.8,Capcom,T,PS2,13
Watch Dogs 2,Action,2016,Ubisoft,1.13,83,7.8,Ubisoft,M,PS4,17
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.13,67,6.1,Traveller's Tales,E10+,3DS,10
